Algorithm,ALOP,CompTime,UAR,Surf
TSP,15.868033255402,1.2733348,5.81814212422225,155737
MST-Hex,14.1100308043331,4.0826102,21.2139697053366,155737
MST-Square,14.7533502635308,0.7882246,14.3812966732376,155737
OCP,15.0487311549817,1158.332527,4.20580851050168,155737
Boustrophedon,18.030357980791,2.4484086,3.80770144538549,155737
